state,Year,Quater,categories,type,count,amount
arunachal-pradesh,2022,Q2,Recharge & bill payments,TOTAL,688770,241162643.1948016
arunachal-pradesh,2022,Q2,Financial Services,TOTAL,2466,4063469.0998270046
arunachal-pradesh,2022,Q2,Others,TOTAL,5768,3864269.879579009
arunachal-pradesh,2022,Q3,Peer-to-peer payments,TOTAL,1967086,7365427284.274204
arunachal-pradesh,2022,Q3,Merchant payments,TOTAL,1316326,1413247143.4889915
arunachal-pradesh,2022,Q3,Recharge & bill payments,TOTAL,649322,238448083.80779752
arunachal-pradesh,2022,Q3,Financial Services,TOTAL,1997,4763324.776043448
arunachal-pradesh,2022,Q3,Others,TOTAL,4687,3224948.7015704075
arunachal-pradesh,2022,Q4,Peer-to-peer payments,TOTAL,2251135,7768088687.67791
arunachal-pradesh,2022,Q4,Merchant payments,TOTAL,1704968,1669602212.9174638
arunachal-pradesh,2022,Q4,Recharge & bill payments,TOTAL,669151,239412553.61214688
arunachal-pradesh,2022,Q4,Financial Services,TOTAL,2617,3785469.399336656
arunachal-pradesh,2022,Q4,Others,TOTAL,4838,4020773.895396032
arunachal-pradesh,2023,Q1,Peer-to-peer payments,TOTAL,3879583,13170741327.0
arunachal-pradesh,2023,Q1,Merchant payments,TOTAL,2922784,2802762028.0
arunachal-pradesh,2023,Q1,Recharge & bill payments,TOTAL,1229475,409663161.0
arunachal-pradesh,2023,Q1,Financial Services,TOTAL,4142,6310412.0
arunachal-pradesh,2023,Q1,Others,TOTAL,6841,5101526.0
arunachal-pradesh,2023,Q2,Peer-to-peer payments,TOTAL,4883817,15695323405.0
